"id","day","drinks","gender","weekend","fratsor"
1,1,0,0,0,0
1,2,0,0,1,0
1,3,5,0,1,0
2,1,8,1,0,0
2,2,5,1,1,0
2,3,10,1,1,0
2,4,0,1,0,0
2,5,0,1,0,0
2,6,0,1,0,0
2,7,0,1,0,0
2,8,0,1,0,0
2,9,10,1,1,0
2,10,4,1,1,0
2,11,4,1,0,0
2,12,4,1,0,0
2,13,4,1,0,0
2,14,4,1,0,0
2,15,0,1,0,0
2,16,0,1,1,0
2,17,0,1,1,0
2,18,0,1,0,0
2,19,0,1,0,0
2,20,0,1,0,0
2,21,0,1,0,0
2,22,4,1,0,0
2,23,4,1,1,0
2,24,4,1,1,0
2,25,4,1,0,0
2,26,4,1,0,0
2,27,4,1,0,0
3,1,4,0,1,0
3,2,8,0,1,0
3,3,3,0,0,0
3,4,4,0,0,0
3,5,5,0,0,0
3,6,0,0,0,0
3,7,3,0,0,0
3,8,2,0,1,0
3,9,2,0,1,0
3,10,12,0,0,0
3,11,3,0,0,0
3,12,1,0,0,0
3,13,1,0,0,0
3,14,7,0,1,0
3,15,3,0,1,0
3,16,3,0,0,0
3,17,1,0,0,0
3,18,0,0,0,0
3,19,0,0,0,0
3,20,0,0,0,0
3,21,3,0,1,0
3,22,5,0,1,0
3,23,3,0,0,0
3,24,1,0,0,0
3,25,0,0,0,0
3,26,0,0,0,0
3,27,1,0,0,0
3,28,4,0,1,0
3,29,5,0,1,0
3,30,5,0,0,0
4,1,0,0,0,0
4,2,0,0,0,0
4,3,0,0,0,0
4,4,14,0,1,0
4,5,0,0,1,0
4,6,0,0,0,0
4,7,0,0,0,0
4,8,0,0,0,0
4,9,4,0,0,0
4,10,0,0,0,0
4,11,6,0,1,0
4,12,0,0,1,0
4,13,0,0,0,0
4,14,0,0,0,0
4,15,0,0,0,0
4,16,0,0,0,0
4,17,0,0,0,0
4,18,0,0,1,0
4,19,0,0,1,0
4,20,0,0,0,0
4,21,0,0,0,0
4,22,0,0,0,0
4,23,3,0,0,0
4,24,0,0,0,0
4,25,0,0,1,0
4,26,0,0,1,0
4,27,0,0,0,0
4,28,0,0,0,0
4,29,0,0,0,0
4,30,0,0,0,0
5,1,0,1,0,0
5,2,0,1,0,0
5,3,0,1,0,0
5,4,1,1,0,0
5,5,21,1,1,0
5,6,10,1,1,0
5,7,3,1,0,0
5,8,3,1,0,0
5,9,3,1,0,0
5,10,0,1,0,0
5,11,0,1,0,0
5,12,3,1,1,0
5,13,3,1,1,0
5,14,0,1,0,0
5,15,0,1,0,0
5,16,0,1,0,0
5,17,0,1,0,0
5,18,0,1,0,0
5,19,3,1,1,0
5,20,3,1,1,0
5,21,0,1,0,0
5,22,0,1,0,0
5,23,0,1,0,0
5,24,0,1,0,0
5,25,0,1,0,0
5,26,3,1,1,0
5,27,3,1,1,0
5,28,3,1,0,0
5,29,3,1,0,0
5,30,5,1,0,0
6,1,0,1,1,1
6,2,0,1,0,1
6,3,2,1,0,1
6,4,0,1,0,1
6,5,14,1,0,1
6,6,0,1,0,1
6,7,0,1,1,1
6,8,0,1,1,1
6,9,5,1,0,1
6,10,0,1,0,1
6,11,0,1,0,1
6,12,0,1,0,1
6,13,0,1,0,1
6,14,0,1,1,1
6,15,2,1,1,1
6,16,0,1,0,1
6,17,2,1,0,1
6,18,0,1,0,1
6,19,0,1,0,1
6,20,0,1,0,1
6,21,0,1,1,1
6,22,2,1,1,1
6,23,0,1,0,1
6,24,0,1,0,1
6,25,0,1,0,1
6,26,0,1,0,1
6,27,0,1,0,1
6,28,0,1,1,1
6,29,0,1,1,1
6,30,0,1,0,1
7,1,0,0,0,0
7,2,0,0,1,0
7,3,0,0,1,0
7,4,0,0,0,0
7,5,1,0,0,0
7,6,0,0,0,0
7,7,5,0,0,0
7,8,1,0,0,0
7,9,0,0,1,0
7,10,0,0,1,0
7,11,0,0,0,0
7,12,0,0,0,0
7,13,0,0,0,0
7,14,0,0,0,0
7,15,0,0,0,0
7,16,0,0,1,0
7,17,0,0,1,0
7,18,0,0,0,0
7,19,0,0,0,0
7,20,0,0,0,0
7,21,0,0,0,0
7,22,0,0,0,0
7,23,0,0,1,0
7,24,0,0,1,0
7,25,0,0,0,0
7,26,0,0,0,0
7,27,0,0,0,0
7,28,0,0,0,0
7,29,0,0,0,0
7,30,0,0,1,0
8,1,0,0,0,0
8,2,3,0,0,0
8,3,3,0,1,0
8,4,0,0,1,0
8,5,7,0,0,0
8,6,0,0,0,0
8,7,0,0,0,0
8,8,0,0,0,0
8,9,0,0,0,0
8,10,0,0,1,0
8,11,0,0,1,0
8,12,0,0,0,0
8,13,0,0,0,0
8,14,0,0,0,0
8,15,0,0,0,0
8,16,0,0,0,0
8,17,0,0,1,0
8,18,0,0,1,0
8,19,0,0,0,0
8,20,0,0,0,0
8,21,0,0,0,0
8,22,0,0,0,0
8,23,0,0,0,0
8,24,0,0,1,0
8,25,0,0,1,0
8,26,0,0,0,0
8,27,0,0,0,0
8,28,0,0,0,0
8,29,0,0,0,0
8,30,0,0,0,0
9,1,0,0,1,0
9,2,0,0,0,0
9,3,0,0,0,0
9,4,0,0,0,0
9,5,0,0,0,0
9,6,0,0,0,0
9,7,8,0,1,0
9,8,6,0,1,0
9,9,0,0,0,0
9,10,0,0,0,0
9,11,0,0,0,0
9,12,0,0,0,0
9,13,0,0,0,0
9,14,0,0,1,0
9,15,0,0,1,0
9,16,0,0,0,0
9,17,0,0,0,0
9,18,0,0,0,0
9,19,0,0,0,0
9,20,0,0,0,0
9,21,0,0,1,0
9,22,0,0,1,0
9,23,0,0,0,0
9,24,0,0,0,0
9,25,0,0,0,0
9,26,0,0,0,0
9,27,0,0,0,0
9,28,0,0,1,0
9,29,0,0,1,0
9,30,0,0,0,0
10,1,4,1,1,0
10,2,6,1,1,0
10,3,4,1,0,0
10,4,0,1,0,0
10,5,2,1,0,0
10,6,0,1,0,0
10,7,0,1,0,0
10,8,0,1,1,0
10,9,8,1,1,0
10,10,0,1,0,0
10,11,0,1,0,0
10,12,0,1,0,0
10,13,0,1,0,0
10,14,0,1,0,0
10,15,4,1,1,0
10,16,4,1,1,0
10,17,4,1,0,0
10,18,0,1,0,0
10,19,0,1,0,0
10,20,0,1,0,0
10,21,0,1,0,0
10,22,4,1,1,0
10,23,4,1,1,0
10,24,4,1,0,0
10,25,0,1,0,0
10,26,0,1,0,0
10,27,0,1,0,0
10,28,0,1,0,0
10,29,4,1,1,0
10,30,4,1,1,0
11,1,1,0,0,0
11,2,0,0,0,0
11,3,0,0,1,0
11,4,0,0,1,0
11,5,2,0,0,0
11,6,2,0,0,0
11,7,4,0,0,0
11,8,2,0,0,0
11,9,0,0,0,0
11,10,0,0,1,0
11,11,0,0,1,0
11,12,0,0,0,0
11,13,0,0,0,0
11,14,0,0,0,0
11,15,0,0,0,0
11,16,0,0,0,0
11,17,0,0,1,0
11,18,0,0,1,0
11,19,0,0,0,0
11,20,0,0,0,0
11,21,0,0,0,0
11,22,0,0,0,0
11,23,0,0,0,0
11,24,0,0,1,0
11,25,0,0,1,0
11,26,0,0,0,0
11,27,0,0,0,0
11,28,0,0,0,0
11,29,0,0,0,0
11,30,0,0,0,0
12,1,0,0,0,0
12,2,0,0,0,0
12,3,0,0,1,0
12,4,3,0,1,0
12,5,0,0,0,0
12,6,0,0,0,0
12,7,0,0,0,0
12,8,0,0,0,0
12,9,0,0,0,0
12,10,0,0,1,0
12,11,0,0,1,0
12,12,0,0,0,0
12,13,0,0,0,0
12,14,0,0,0,0
12,15,0,0,0,0
12,16,0,0,0,0
12,17,0,0,1,0
12,18,0,0,1,0
12,19,0,0,0,0
12,20,0,0,0,0
12,21,0,0,0,0
12,22,0,0,0,0
12,23,0,0,0,0
12,24,0,0,1,0
12,25,0,0,1,0
12,26,0,0,0,0
12,27,0,0,0,0
12,28,0,0,0,0
12,29,0,0,0,0
12,30,0,0,0,0
13,1,1,1,0,0
13,2,9,1,1,0
13,3,0,1,1,0
13,4,9,1,0,0
13,5,13,1,0,0
13,6,0,1,0,0
13,7,0,1,0,0
13,8,0,1,0,0
13,9,4,1,1,0
13,10,4,1,1,0
13,11,2,1,0,0
13,12,0,1,0,0
13,13,0,1,0,0
13,14,0,1,0,0
13,15,0,1,0,0
13,16,2,1,1,0
13,17,6,1,1,0
13,18,0,1,0,0
13,19,1,1,0,0
13,20,2,1,0,0
13,21,0,1,0,0
13,22,0,1,0,0
13,23,0,1,1,0
13,24,15,1,1,0
13,25,0,1,0,0
13,26,0,1,0,0
13,27,0,1,0,0
13,28,0,1,0,0
13,29,0,1,0,0
13,30,0,1,1,0
14,1,0,0,1,1
14,2,0,0,1,1
14,3,12,0,0,1
14,4,8,0,0,1
14,5,0,0,0,1
14,6,0,0,0,1
14,7,0,0,0,1
14,8,12,0,1,1
14,9,0,0,1,1
14,10,0,0,0,1
14,11,3,0,0,1
14,12,3,0,0,1
14,13,3,0,0,1
14,14,3,0,0,1
14,15,10,0,1,1
14,16,0,0,1,1
14,17,0,0,0,1
14,18,0,0,0,1
14,19,0,0,0,1
14,20,0,0,0,1
14,21,0,0,0,1
14,22,0,0,1,1
14,23,0,0,1,1
14,24,0,0,0,1
14,25,0,0,0,1
14,26,0,0,0,1
14,27,0,0,0,1
14,28,0,0,0,1
14,29,0,0,1,1
14,30,0,0,1,1
15,1,5,1,1,1
15,2,5,1,1,1
15,3,4,1,0,1
15,4,21,1,0,1
15,5,4,1,0,1
15,6,1,1,0,1
15,7,3,1,0,1
15,8,0,1,1,1
15,9,0,1,1,1
15,10,0,1,0,1
15,11,0,1,0,1
15,12,0,1,0,1
15,13,0,1,0,1
15,14,0,1,0,1
15,15,0,1,1,1
15,16,0,1,1,1
15,17,0,1,0,1
15,18,0,1,0,1
15,19,0,1,0,1
15,20,0,1,0,1
15,21,0,1,0,1
15,22,5,1,1,1
15,23,5,1,1,1
15,24,0,1,0,1
15,25,0,1,0,1
15,26,0,1,0,1
15,27,0,1,0,1
15,28,0,1,0,1
15,29,5,1,1,1
15,30,5,1,1,1
16,1,0,1,1,0
16,2,0,1,1,0
16,3,0,1,0,0
16,4,1,1,0,0
16,5,0,1,0,0
16,6,0,1,0,0
16,7,0,1,0,0
16,8,0,1,1,0
